Note: The alarm_handler module has a syntax error in the always block.
It should be 'alarm_sound <= 1' instead of 'alarm_sound = 1'
And there should be a semicolon after the assignment.
Time:   0 | Clock:  x: x: x | Display:  x: x: x | Date:  1/ 1/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: x
Time:  94 | Clock:  0: 0:44 | Display:  0: 0:10 | Date: 31/12/2025 | Timer:  0:10 (Running: 1, Done: 0) | Alarm: 0
Time:  95 | Clock:  0: 0:45 | Display:  0: 0:10 | Date: 31/12/2025 | Timer:  0:10 (Running: 1, Done: 0) | Alarm: 0
Time:  96 | Clock:  0: 0:46 | Display:  0: 0:10 | Date: 31/12/2025 | Timer:  0:10 (Running: 1, Done: 0) | Alarm: 0
Time:  97 | Clock:  0: 0:47 | Display:  0: 0:10 | Date: 31/12/2025 | Timer:  0:10 (Running: 1, Done: 0) | Alarm: 0
Time:  98 | Clock:  0: 0:48 | Display:  0: 0:10 | Date: 31/12/2025 | Timer:  0:10 (Running: 1, Done: 0) | Alarm: 0
Time:  99 | Clock:  0: 0:49 | Display:  0: 0:10 | Date: 31/12/2025 | Timer:  0:10 (Running: 1, Done: 0) | Alarm: 0
Time: 100 | Clock:  0: 0:50 | Display:  0: 0:10 | Date: 31/12/2025 | Timer:  0:10 (Running: 1, Done: 0) | Alarm: 0
Time: 101 | Clock:  0: 0:51 | Display:  0: 0: 9 | Date: 31/12/2025 | Timer:  0: 9 (Running: 1, Done: 0) | Alarm: 0
Time: 102 | Clock:  0: 0:52 | Display:  0: 0: 8 | Date: 31/12/2025 | Timer:  0: 8 (Running: 1, Done: 0) | Alarm: 0
Time: 103 | Clock:  0: 0:53 | Display:  0: 0: 7 | Date: 31/12/2025 | Timer:  0: 7 (Running: 1, Done: 0) | Alarm: 0
Time: 104 | Clock:  0: 0:54 | Display:  0: 0: 6 | Date: 31/12/2025 | Timer:  0: 6 (Running: 1, Done: 0) | Alarm: 0
Time: 105 | Clock:  0: 0:55 | Display:  0: 0: 5 | Date: 31/12/2025 | Timer:  0: 5 (Running: 1, Done: 0) | Alarm: 0
Time: 106 | Clock:  0: 0:56 | Display:  0: 0: 4 | Date: 31/12/2025 | Timer:  0: 4 (Running: 1, Done: 0) | Alarm: 0
Time: 107 | Clock:  0: 0:57 | Display:  0: 0: 3 | Date: 31/12/2025 | Timer:  0: 3 (Running: 1, Done: 0) | Alarm: 0
Time: 108 | Clock:  0: 0:58 | Display:  0: 0: 2 | Date: 31/12/2025 | Timer:  0: 2 (Running: 1, Done: 0) | Alarm: 0
Time: 109 | Clock:  0: 0:59 | Display:  0: 0: 1 | Date: 31/12/2025 | Timer:  0: 1 (Running: 1, Done: 0) | Alarm: 0
Time: 110 | Clock:  0: 1: 0 | Display:  0: 0: 0 | Date: 31/12/2025 | Timer:  0: 0 (Running: 1, Done: 0) | Alarm: 0
Time: 111 | Clock:  0: 1: 1 | Display:  0: 1: 1 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 112 | Clock:  0: 1: 2 | Display:  0: 1: 2 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 113 | Clock:  0: 1: 3 | Display:  0: 1: 3 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 114 | Clock:  0: 1: 4 | Display:  0: 1: 4 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 115 | Clock:  0: 1: 5 | Display:  0: 1: 5 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 116 | Clock:  0: 1: 6 | Display:  0: 1: 6 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 117 | Clock:  0: 1: 7 | Display:  0: 1: 7 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 118 | Clock:  0: 1: 8 | Display:  0: 1: 8 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 119 | Clock:  0: 1: 9 | Display:  0: 1: 9 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 120 | Clock:  0: 1:10 | Display:  0: 1:10 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 121 | Clock:  0: 1:11 | Display:  0: 1:11 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 122 | Clock:  0: 1:12 | Display:  0: 1:12 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 123 | Clock:  0: 1:13 | Display:  0: 1:13 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 124 | Clock:  0: 1:14 | Display:  0: 1:14 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 125 | Clock:  0: 1:15 | Display:  0: 1:15 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 126 | Clock:  0: 1:16 | Display:  0: 1:16 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 127 | Clock:  0: 1:17 | Display:  0: 1:17 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 128 | Clock:  0: 1:18 | Display:  0: 1:18 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 129 | Clock:  0: 1:19 | Display:  0: 1:19 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 130 | Clock:  0: 1:20 | Display:  0: 1:20 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 131 | Clock:  0: 1:21 | Display:  0: 1:21 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 132 | Clock:  0: 1:22 | Display:  0: 1:22 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 133 | Clock:  0: 1:23 | Display:  0: 1:23 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 134 | Clock:  0: 1:24 | Display:  0: 1:24 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 135 | Clock:  0: 1:25 | Display:  0: 1:25 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 136 | Clock:  0: 1:26 | Display:  0: 1:26 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 137 | Clock:  0: 1:27 | Display:  0: 1:27 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 138 | Clock:  0: 1:28 | Display:  0: 1:28 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 139 | Clock:  0: 1:29 | Display:  0: 1:29 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 140 | Clock:  0: 1:30 | Display:  0: 1:30 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 141 | Clock:  0: 1:31 | Display:  0: 1:31 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 142 | Clock:  0: 1:32 | Display:  0: 1:32 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 143 | Clock:  0: 1:33 | Display:  0: 1:33 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 144 | Clock:  0: 1:34 | Display:  0: 1:34 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 145 | Clock:  0: 1:35 | Display:  0: 1:35 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 146 | Clock:  0: 1:36 | Display:  0: 1:36 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 147 | Clock:  0: 1:37 | Display:  0: 1:37 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 148 | Clock:  0: 1:38 | Display:  0: 1:38 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 149 | Clock:  0: 1:39 | Display:  0: 1:39 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 150 | Clock:  0: 1:40 | Display:  0: 1:40 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 151 | Clock:  0: 1:41 | Display:  0: 1:41 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 152 | Clock:  0: 1:42 | Display:  0: 1:42 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 153 | Clock:  0: 1:43 | Display:  0: 1:43 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 154 | Clock:  0: 1:44 | Display:  0: 1:44 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 155 | Clock:  0: 1:45 | Display:  0: 1:45 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 156 | Clock:  0: 1:46 | Display:  0: 1:46 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 157 | Clock:  0: 1:47 | Display:  0: 1:47 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 158 | Clock:  0: 1:48 | Display:  0: 1:48 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 159 | Clock:  0: 1:49 | Display:  0: 1:49 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 160 | Clock:  0: 1:50 | Display:  0: 1:50 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 161 | Clock:  0: 1:51 | Display:  0: 1:51 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 162 | Clock:  0: 1:52 | Display:  0: 1:52 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 163 | Clock:  0: 1:53 | Display:  0: 1:53 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 164 | Clock:  0: 1:54 | Display:  0: 1:54 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 165 | Clock:  0: 1:55 | Display:  0: 1:55 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 166 | Clock:  0: 1:56 | Display:  0: 1:56 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 167 | Clock:  0: 1:57 | Display:  0: 1:57 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 168 | Clock:  0: 1:58 | Display:  0: 1:58 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 169 | Clock:  0: 1:59 | Display:  0: 1:59 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 170 | Clock:  0: 2: 0 | Display:  0: 2: 0 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 171 | Clock:  0: 2: 1 | Display:  0: 2: 1 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 172 | Clock:  0: 2: 2 | Display:  0: 2: 2 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 173 | Clock:  0: 2: 3 | Display:  0: 2: 3 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 174 | Clock:  0: 2: 4 | Display:  0: 2: 4 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 175 | Clock:  0: 2: 5 | Display:  0: 2: 5 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 176 | Clock:  0: 2: 6 | Display:  0: 2: 6 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 177 | Clock:  0: 2: 7 | Display:  0: 2: 7 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 178 | Clock:  0: 2: 8 | Display:  0: 2: 8 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 179 | Clock:  0: 2: 9 | Display:  0: 2: 9 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 180 | Clock:  0: 2:10 | Display:  0: 2:10 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 181 | Clock:  0: 2:11 | Display:  0: 2:11 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 182 | Clock:  0: 2:12 | Display:  0: 2:12 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 183 | Clock:  0: 2:13 | Display:  0: 2:13 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 184 | Clock:  0: 2:14 | Display:  0: 2:14 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 185 | Clock:  0: 2:15 | Display:  0: 2:15 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 186 | Clock:  0: 2:16 | Display:  0: 2:16 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 187 | Clock:  0: 2:17 | Display:  0: 2:17 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 188 | Clock:  0: 2:18 | Display:  0: 2:18 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 189 | Clock:  0: 2:19 | Display:  0: 2:19 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 190 | Clock:  0: 2:20 | Display:  0: 2:20 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 191 | Clock:  0: 2:21 | Display:  0: 2:21 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 192 | Clock:  0: 2:22 | Display:  0: 2:22 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 193 | Clock:  0: 2:23 | Display:  0: 2:23 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 194 | Clock:  0: 2:24 | Display:  0: 2:24 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 195 | Clock:  0: 2:25 | Display:  0: 2:25 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 196 | Clock:  0: 2:26 | Display:  0: 2:26 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 197 | Clock:  0: 2:27 | Display:  0: 2:27 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 198 | Clock:  0: 2:28 | Display:  0: 2:28 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 199 | Clock:  0: 2:29 | Display:  0: 2:29 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 200 | Clock:  0: 2:30 | Display:  0: 2:30 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 201 | Clock:  0: 2:31 | Display:  0: 2:31 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 202 | Clock:  0: 2:32 | Display:  0: 2:32 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 203 | Clock:  0: 2:33 | Display:  0: 2:33 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 204 | Clock:  0: 2:34 | Display:  0: 2:34 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 205 | Clock:  0: 2:35 | Display:  0: 2:35 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 206 | Clock:  0: 2:36 | Display:  0: 2:36 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 207 | Clock:  0: 2:37 | Display:  0: 2:37 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 208 | Clock:  0: 2:38 | Display:  0: 2:38 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 209 | Clock:  0: 2:39 | Display:  0: 2:39 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 210 | Clock:  0: 2:40 | Display:  0: 2:40 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 211 | Clock:  0: 2:41 | Display:  0: 2:41 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 212 | Clock:  0: 2:42 | Display:  0: 2:42 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 213 | Clock:  0: 2:43 | Display:  0: 2:43 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 214 | Clock:  0: 2:44 | Display:  0: 2:44 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 215 | Clock:  0: 2:45 | Display:  0: 2:45 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 216 | Clock:  0: 2:46 | Display:  0: 2:46 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
Time: 217 | Clock:  0: 2:47 | Display:  0: 2:47 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 1) | Alarm: 0
